barcode,ENSG00000270195.1,SLBP
TCGA-91-6847-11,2015.97864675,717.647
TCGA-44-2665-11,2731.64646576,643.902
TCGA-49-4512-11,2324.64748174,1125.96
TCGA-50-5932-11,4109.19149089,762.987
TCGA-44-2662-11,595.455010992,556.716
TCGA-44-6776-11,4605.29194097,753.192
TCGA-44-3398-11,3081.98430477,710.685
TCGA-55-6983-11,3413.00034585,674.761
TCGA-49-6743-11,889.360052081,790.616
TCGA-44-3396-11,2646.70746755,673.119
TCGA-44-2657-11,6322.22261248,862.265000000001
TCGA-44-2668-11,3091.44494137,745.776
TCGA-55-6975-11,14115.6542606,655.265
TCGA-44-2655-11,1188.35624781,752.233999999999
TCGA-73-4676-11,2309.04220929,942.187
TCGA-55-6984-11,4225.52768038,763.609
TCGA-55-6978-11,4770.01833595,688.87
TCGA-91-6828-11,3294.27422197,645.659
TCGA-55-6982-11,10937.5683598,681.974
TCGA-55-6970-11,5814.10278462,734.187
TCGA-44-6146-11,964.3331732539999,649.26
TCGA-55-6972-11,13125.0820318,707.087
TCGA-50-5931-11,0.0,608.295
TCGA-49-6745-11,3535.37563145,1081.92
TCGA-55-6979-11,3844.44848823,720.359
TCGA-50-5936-11,843.2005362760001,620.808
TCGA-38-4626-11,4759.09462984,831.193
TCGA-49-6761-11,2361.52044132,729.253
TCGA-55-6985-11,3470.44912569,688.854
TCGA-50-5930-11,2024.57120847,770.691
TCGA-44-6148-11,6869.149829100002,575.33
TCGA-55-6971-11,12708.1650384,688.83
TCGA-44-6777-11,4012.49490915,772.991
TCGA-50-5939-11,1644.96410688,594.162
TCGA-55-6986-11,5713.47910547,657.407
TCGA-55-6980-11,10834.6079046,591.036
TCGA-91-6836-11,2054.17264089,742.25
TCGA-50-6595-11,3171.57687177,678.738
TCGA-91-6829-11,19836.281680400003,815.951
TCGA-49-6742-11,4808.03133554,742.125
TCGA-91-6835-11,11078.1273059,698.954
TCGA-91-6849-11,7494.41197907,642.827
TCGA-91-6831-11,2913.27755378,660.377
TCGA-55-6968-11,11441.6773499,804.124
TCGA-44-6145-11,1741.76049313,686.627
TCGA-49-4490-11,2789.44696424,1107.84
TCGA-38-4632-11,3545.63827398,1091.77
TCGA-44-6778-11,2238.56874868,576.061
TCGA-55-6981-11,5601.4501034,575.758
TCGA-44-2661-11,3468.38050909,731.143
TCGA-38-4625-11,2953.8236139,826.152
TCGA-38-4627-11,726.621674253,928.352
TCGA-49-6744-11,0.0,771.312
TCGA-50-5935-11,2829.53735178,700.464
TCGA-50-5933-11,4490.57428458,567.126
TCGA-44-6144-11,3131.39612122,747.64
TCGA-44-5645-11,9172.75227821,814.329
TCGA-44-6147-11,9895.89518268,623.875
TCGA-55-6969-11,13264.710564,644.915
TCGA-55-7573-01,12996.8239012,971.177
TCGA-05-4430-01,5259.82844463,1131.1
TCGA-44-6145-01,12520.998758299998,852.811
TCGA-62-A470-01,26430.183891900004,1097.29
TCGA-44-6147-01,7052.50448539,653.005
TCGA-05-5429-01,8319.4848575,1184.07
TCGA-97-A4M6-01,21777.1737249,1002.4
TCGA-44-2661-01,24343.9021494,1149.38
TCGA-05-4250-01,6510.00414036,2256.49
TCGA-97-A4M7-01,36252.5300181,749.033
TCGA-44-7659-01,72838.65662519999,1971.6
TCGA-50-5044-01,7657.41735732,1082.91
TCGA-05-4390-01,9551.33058718,1827.24
TCGA-78-8648-01,8824.01819316,747.135
TCGA-49-6745-01,4581.72154915,1167.08
TCGA-44-2668-01,12848.0230551,1337.15
TCGA-97-8552-01,37511.5160354,800.61
TCGA-75-7025-01,34151.938830299994,877.837
TCGA-53-7624-01,21085.3123134,2407.99
TCGA-78-7152-01,5136.48936361,1094.71
TCGA-55-8621-01,17635.3249929,742.467
TCGA-38-4628-01,1180.76022066,3320.48
TCGA-49-6767-01,11249.4661526,2051.48
TCGA-55-A492-01,57480.4124441,1657.74
TCGA-95-A4VP-01,68331.7053305,958.197
TCGA-95-7567-01,6492.19218416,1007.31
TCGA-97-7938-01,7599.46849317,842.9
TCGA-J2-A4AD-01,11308.479589700002,1162.0
TCGA-53-A4EZ-01,72088.5187351,989.082
TCGA-67-6216-01,13215.0919459,1060.26
TCGA-55-8302-01,46913.8734586,2485.95
TCGA-91-6847-01,29906.982782,2049.69
TCGA-78-8660-01,37579.348795,1047.05
TCGA-86-8055-01,7344.20493269,954.136
TCGA-75-7031-01,24869.2653806,1182.8
TCGA-L9-A443-01,46719.920188,1305.07
TCGA-97-7937-01,18763.462467400004,1778.22
TCGA-NJ-A55R-01,40097.29896,951.283
TCGA-50-5932-01,7627.02746138,1271.82
TCGA-55-6983-01,8976.98484705,1156.74
TCGA-78-7154-01,9523.3819434,1756.81
TCGA-50-5930-01,7024.69179165,830.033
TCGA-55-A48X-01,32641.702010900004,781.036
TCGA-97-A4M0-01,70737.159802,812.044
TCGA-86-A4JF-01,9701.14758869,1939.18
TCGA-86-7713-01,4442.9521767,933.085
TCGA-MP-A4TD-01,31951.2736811,791.523
TCGA-44-A479-01,19267.5045279,935.301
TCGA-38-4630-01,33282.9451369,3257.26
TCGA-55-7994-01,34419.6464024,1372.19
TCGA-38-4629-01,4540.49846005,2452.84
TCGA-97-A4M2-01,44840.6694655,714.747
TCGA-05-5420-01,13050.1529241,1628.94
TCGA-38-4626-01,13546.8079685,857.191
TCGA-55-8620-01,55009.53498609999,1221.61
TCGA-L4-A4E6-01,18030.5631916,815.933999999999
TCGA-86-8054-01,7075.69305893,1722.75
TCGA-67-4679-01,26498.0994974,749.39
TCGA-69-7979-01,15164.2784192,565.961
TCGA-05-5425-01,2229.23026165,1390.84
TCGA-75-6206-01,6937.96720163,808.685
TCGA-55-8085-01,30336.7111136,1628.39
TCGA-78-8640-01,12761.5939081,844.931
TCGA-44-7660-01,40923.3326939,1702.87
TCGA-95-8494-01,70476.9181647,1543.66
TCGA-69-7980-01,63972.5313582,1426.93
TCGA-50-5946-01,19331.5161708,1177.55
TCGA-05-4402-01,4810.12253504,1075.1
TCGA-50-5931-01,48529.0227038,2256.31
TCGA-62-A46V-01,17579.4150073,650.62
TCGA-73-4658-01,785.3143083089999,1218.64
TCGA-05-4410-01,8189.70635808,931.957
TCGA-91-6831-01,21062.2093415,1721.01
TCGA-78-7153-01,5872.00137992,1543.14
TCGA-69-8255-01,44681.1303209,1639.11
TCGA-44-6147-01,11196.7524442,653.005
TCGA-80-5608-01,12225.493586700002,1076.69
TCGA-99-8028-01,25517.3433339,1174.84
TCGA-50-6595-01,2645.90513107,1293.25
TCGA-55-6971-01,20699.4445822,732.817
TCGA-62-8395-01,21078.0871921,869.775
TCGA-97-A4M5-01,23978.5152503,808.626
TCGA-67-3774-01,8282.43401159,1250.52
TCGA-55-8512-01,16841.0143472,634.42
TCGA-49-4507-01,51266.1431982,2008.99
TCGA-95-A4VN-01,15934.6043836,1267.25
TCGA-55-8505-01,26136.186708,750.737
TCGA-73-4670-01,26678.7009551,1248.05
TCGA-93-A4JN-01,76587.7411992,1201.99
TCGA-78-7146-01,10334.4723261,2095.02
TCGA-86-7954-01,28794.4134773,937.125
TCGA-55-6979-01,19692.3341324,1145.12
TCGA-55-8616-01,22968.4491196,850.84
TCGA-55-7913-01,17184.8034067,932.922
TCGA-75-6205-01,9313.78370134,943.22
TCGA-L9-A444-01,68490.7449686,1087.32
TCGA-44-2655-01,5618.45006462,1294.06
TCGA-91-6836-01,17519.186529799998,2603.44
TCGA-91-6849-01,12828.0122738,989.989
TCGA-86-7953-01,17090.9916801,1281.04
TCGA-78-7220-01,9952.81487559,2252.48
TCGA-55-7903-01,11882.1469257,1286.0
TCGA-97-7941-01,17147.7004934,619.105
TCGA-05-4403-01,1350.62789847,997.22
TCGA-95-A4VK-01,68489.8836773,888.726
TCGA-78-7155-01,3554.90461302,3368.06
TCGA-MN-A4N5-01,52587.4613476,1648.43
TCGA-95-8039-01,21537.9947867,1074.76
TCGA-75-6214-01,9044.64377179,1707.08
TCGA-44-2666-01,11144.8229623,1190.28
TCGA-35-5375-01,23408.31276,1190.9
TCGA-50-6590-01,4996.09590791,851.087
TCGA-50-6673-01,2886.72040056,775.659
TCGA-91-8497-01,38991.0121569,683.766000000001
TCGA-L9-A743-01,16308.638656799998,1013.69
TCGA-69-7974-01,5746.44500968,1072.78
TCGA-L9-A8F4-01,62292.65811519999,1990.92
TCGA-05-4396-01,17039.3950814,1348.75
TCGA-97-7547-01,3171.72093613,705.548
TCGA-73-4666-01,25850.8279651,1913.35
TCGA-49-4488-01,5036.89272073,2131.72
TCGA-97-A4M3-01,9817.97474817,856.348
TCGA-78-7162-01,3898.03139669,905.964
TCGA-38-7271-01,5060.40094569,858.011
TCGA-50-6597-01,12040.7136665,1830.35
TCGA-NJ-A4YI-01,42209.9794522,719.033
TCGA-05-4432-01,11165.0394522,1768.39
TCGA-55-8514-01,19071.1915141,699.355
TCGA-86-8668-01,23292.614930900007,680.804
TCGA-50-5936-01,6982.5436408999985,1168.86
TCGA-44-2659-01,14192.1618717,978.097000000001
TCGA-95-7948-01,30539.466589,1538.82
TCGA-49-4494-01,4715.59833477,1910.41
TCGA-78-8655-01,24432.1628362,826.472
TCGA-MP-A4T7-01,22629.4517789,910.9
TCGA-75-6211-01,3525.3798707,961.867
TCGA-38-4627-01,4846.498078000001,943.087
TCGA-86-7711-01,10555.2078418,1205.41
TCGA-78-7145-01,1376.25032342,2334.66
TCGA-44-3918-01,27690.254931,1433.26
TCGA-86-8280-01,14802.457836,1125.05
TCGA-80-5611-01,15079.459325999998,2362.88
TCGA-67-3773-01,22889.6358138,1361.77
TCGA-75-6212-01,8474.98924736,1149.69
TCGA-64-5775-01,2001.41700324,1600.25
TCGA-L9-A50W-01,30257.038421599995,908.225
TCGA-44-3919-01,19068.2195348,1474.8
TCGA-55-7283-01,5656.22234736,1111.28
TCGA-55-6985-01,6343.15374355,751.492
TCGA-78-7147-01,32283.3145134,1467.18
TCGA-44-A4SS-01,36551.320813,898.888999999999
TCGA-86-8671-01,28338.2452959,796.804
TCGA-62-8398-01,12758.3442025,865.128
TCGA-55-8089-01,15779.384276,1316.09
TCGA-64-5774-01,4345.08005034,919.981000000001
TCGA-55-8615-01,20111.0127906,696.791
TCGA-NJ-A7XG-01,27999.7569383,832.513
TCGA-55-6968-01,10880.303604,1663.42
TCGA-44-6774-01,13647.473356400002,892.193
TCGA-05-4397-01,17669.2738522,1263.83
TCGA-55-8097-01,19663.7024563,1027.23
TCGA-55-7728-01,45298.73817330001,555.659
TCGA-44-3918-01,19548.7242177,1433.26
TCGA-MP-A4TE-01,12047.1767441,1241.85
TCGA-44-2668-01,8871.10287522,1337.15
TCGA-80-5607-01,4206.22489738,1104.96
TCGA-MP-A5C7-01,15746.3098523,1248.26
TCGA-86-8585-01,18905.8040819,738.886
TCGA-86-8673-01,40381.662133,839.297
TCGA-55-6987-01,15928.546059399998,904.308
TCGA-86-A4P8-01,17870.632864099996,656.791
TCGA-S2-AA1A-01,30376.7330645,692.541
TCGA-71-8520-01,16784.9606752,1323.06
TCGA-55-6981-01,4636.32923269,988.596
TCGA-50-5944-01,2432.54649914,955.023999999999
TCGA-93-A4JO-01,47742.4043075,701.883
TCGA-78-7143-01,17175.0525596,1153.55
TCGA-55-6543-01,2933.84186592,852.285
TCGA-55-8207-01,12678.245376100003,793.68
TCGA-97-8177-01,18070.7651162,1290.87
TCGA-62-A46O-01,26332.5704005,2241.92
TCGA-MP-A4TA-01,43512.28057330001,1137.92
TCGA-55-A48Z-01,69984.0669608,1036.52
TCGA-78-7166-01,47387.4695684,1176.55
TCGA-62-A46S-01,15120.518936200002,1110.82
TCGA-50-5051-01,34529.0619605,1098.37
TCGA-78-7158-01,22347.3901804,1159.34
TCGA-55-A4DF-01,33669.6991474,2200.18
TCGA-49-AAR0-01,83135.93757180001,869.608000000001
TCGA-49-6744-01,3852.86301435,859.98
TCGA-97-8547-01,24603.0543216,635.037
TCGA-MP-A4T9-01,26641.1526397,810.434
TCGA-49-AARE-01,29505.0353293,649.522
TCGA-L9-A7SV-01,27745.0819491,918.899
TCGA-MP-A4TF-01,59636.3846845,1959.22
TCGA-50-5066-01,27816.0079917,2189.9
TCGA-44-6147-01,25157.7864922,653.005
TCGA-73-4662-01,13376.9759651,1086.56
TCGA-55-6986-01,7483.16754999,1059.59
TCGA-05-4395-01,20225.1872347,1650.37
TCGA-MN-A4N4-01,42493.5713297,1203.09
TCGA-49-4512-01,21219.2371583,1040.74
TCGA-55-7995-01,19543.617445400007,719.428
TCGA-69-8254-01,11099.1606722,826.33
TCGA-67-6217-01,9446.08176528,785.761
TCGA-67-3772-01,4351.57898598,1340.82
TCGA-55-8094-01,23845.3834568,1744.0
TCGA-78-7535-01,53717.0392607,1883.89
TCGA-64-1679-01,4873.56473519,1087.06
TCGA-55-7284-01,8559.61352567,764.201
TCGA-38-6178-01,16528.6865686,1456.32
TCGA-78-7167-01,24894.2794643,1101.04
TCGA-50-6592-01,13698.9979457,1489.51
TCGA-83-5908-01,39491.3972637,1868.94
TCGA-55-8092-01,62418.95689369999,905.739
TCGA-69-8253-01,20260.790137,1357.99
TCGA-95-7039-01,9946.12815315,1615.71
TCGA-55-8206-01,11666.7395838,944.477
TCGA-55-8205-01,20212.0731564,1590.86
TCGA-50-6591-01,12539.3618405,1654.12
TCGA-55-A490-01,15367.7431072,1480.96
TCGA-55-8091-01,18511.0121537,1333.21
TCGA-86-A456-01,21446.9756806,1389.32
TCGA-86-A4P7-01,21817.219355200006,760.911
TCGA-44-3396-01,27162.0879011,1535.91
TCGA-93-A4JQ-01,41110.2091114,653.444
TCGA-73-4675-01,12951.6581265,1032.84
TCGA-44-7661-01,8348.33051279,1391.01
TCGA-97-7554-01,1141.31148102,940.47
TCGA-55-6982-01,6685.69862208,1421.53
TCGA-05-4405-01,7702.09000491,669.258
TCGA-95-7944-01,19499.6820333,784.407
TCGA-05-4427-01,8088.98149275,1099.39
TCGA-44-7662-01,44178.2396047,1272.07
TCGA-86-8075-01,10413.1320367,1064.42
TCGA-50-5939-01,2789.96709234,979.648
TCGA-44-2662-01,13652.367752200002,1824.94
TCGA-64-1681-01,7545.43293808,1699.83
TCGA-44-5645-01,11060.4623863,990.82
TCGA-75-6203-01,4618.08441858,801.238
TCGA-73-7498-01,21205.7852859,833.197
TCGA-44-2665-01,26671.2896902,1051.23
TCGA-55-5899-01,10722.5793011,1017.86
TCGA-55-6984-01,8527.51643013,1024.68
TCGA-44-5644-01,25603.3427724,749.46
TCGA-67-3770-01,17668.3796581,1656.02
TCGA-93-8067-01,5860.78868633,1472.62
TCGA-97-7552-01,4305.16285893,754.285
TCGA-50-5055-01,13044.9812696,1283.22
TCGA-62-8394-01,17829.9781907,844.163
TCGA-86-8359-01,7212.04700331,801.944
TCGA-55-7570-01,17065.974925799994,1641.83
TCGA-49-AARQ-01,377966.547372,2301.12
TCGA-38-A44F-01,40950.8505068,1011.42
TCGA-MP-A4SW-01,51412.0227298,1256.83
