barcode,ENSG00000270195.1,SLBP
TCGA-22-5482-11,2226.71842621,709.645
TCGA-51-4079-11,5570.35539383,575.491
TCGA-56-7730-11,9301.62471479,671.034
TCGA-56-7582-11,12926.4665441,769.682
TCGA-43-6773-11,8756.19938917,643.855
TCGA-43-7658-11,4606.06522481,776.997
TCGA-43-7657-11,5075.50662015,753.595
TCGA-56-8201-11,2173.84767052,632.976
TCGA-39-5040-11,8534.27578512,921.942
TCGA-33-4587-11,5334.25793804,1111.83
TCGA-22-5472-11,3232.98837886,799.576
TCGA-22-5483-11,0.0,712.29
TCGA-77-7337-11,4479.14788691,852.317
TCGA-77-7338-11,995.217234774,850.911
TCGA-85-7710-11,18023.880254900007,957.544
TCGA-56-8623-11,12639.4606489,735.5
TCGA-77-7138-11,10776.0846354,733.185
TCGA-56-8083-11,7815.56234775,665.627
TCGA-22-5471-11,544.7876758130001,690.497
TCGA-43-6647-11,3104.20811108,601.698
TCGA-56-7823-11,10757.8219611,700.57
TCGA-56-7579-11,13348.86416,743.386999999999
TCGA-22-5478-11,2491.62990326,637.151
TCGA-58-8386-11,9108.2596355,854.789
TCGA-34-8454-11,9995.05244904,710.895
TCGA-77-8007-11,11084.4289406,1088.25
TCGA-43-6771-11,5763.58030897,606.188
TCGA-56-7731-11,1708.05862057,683.135
TCGA-92-7340-11,4184.17044637,609.612
TCGA-22-5481-11,4951.2222092,706.914
TCGA-22-5489-11,1510.11465357,698.766
TCGA-56-8082-11,4355.37901753,614.55
TCGA-56-8309-11,11933.6770978,665.287
TCGA-60-2709-11,2330.07763236,849.803
TCGA-90-6837-11,2269.98308673,630.558
TCGA-43-5670-11,13486.0623472,639.755
TCGA-22-5491-11,3507.40588753,691.755
TCGA-56-7222-11,6305.34914295,785.417
TCGA-90-7767-11,6886.477282800001,655.968
TCGA-34-7107-11,2352.88650646,534.916
TCGA-22-4609-11,1376.75685648,588.338
TCGA-51-4081-11,14230.104896399998,568.42
TCGA-33-6737-11,2135.80471569,697.91
TCGA-56-7580-11,7857.2912543,802.817
TCGA-77-8008-11,13119.5134777,696.287
TCGA-77-7142-11,9518.18925968,812.936
TCGA-77-7335-11,796.34858248,1061.22
TCGA-43-6143-11,5541.7013023,744.051
TCGA-22-4593-11,2250.54587794,843.103
TCGA-NC-A5HT-01,46529.6111122,2400.64
TCGA-43-6647-01,1876.06965284,945.802000000001
TCGA-56-A4BX-01,13804.9498634,765.462
TCGA-22-5473-01,8258.86930298,1591.98
TCGA-92-8063-01,16029.3465276,927.238999999999
TCGA-60-2719-01,15423.3665932,1483.66
TCGA-56-8626-01,18961.2239324,837.265
TCGA-NK-A5CX-01,44044.11855930001,1072.01
TCGA-63-A5MR-01,21197.0074813,1165.74
TCGA-LA-A7SW-01,38811.3451575,964.239
TCGA-66-2794-01,6061.65674778,1442.39
TCGA-85-A4PA-01,131195.726927,1568.02
TCGA-94-A5I4-01,59284.0371453,1484.1
TCGA-56-8624-01,24062.6503916,1152.22
TCGA-22-4601-01,28338.2452959,1723.53
TCGA-56-8628-01,31342.4090048,909.343
TCGA-21-5787-01,12555.752369700003,1648.76
TCGA-43-5670-01,31887.1868842,883.471
TCGA-L3-A524-01,78050.2803454,1118.23
TCGA-77-8144-01,13298.3944405,1812.21
TCGA-43-6143-01,24077.3635449,1633.6
TCGA-77-A5GA-01,36983.8116573,1165.72
TCGA-60-2722-01,8958.29577381,1252.73
TCGA-77-7335-01,3445.0223948,1041.21
TCGA-37-4133-01,12752.8691057,1103.8
TCGA-58-A46N-01,21133.6066613,1155.4
TCGA-33-4547-01,20681.6002334,1028.51
TCGA-22-1000-01,15002.6004507,776.536
TCGA-43-A475-01,37799.8060972,1667.92
TCGA-85-A510-01,63597.0710784,1425.1
TCGA-98-A53B-01,36126.1311995,827.155
TCGA-52-7622-01,21356.001099700006,1502.02
TCGA-21-1072-01,13671.9604498,2336.38
TCGA-22-5471-01,21644.8721226,1997.12
TCGA-22-1012-01,13272.1417744,1451.31
TCGA-77-6842-01,10322.9456112,1050.17
TCGA-NC-A5HR-01,59839.2411828,1246.51
TCGA-NC-A5HM-01,34917.706448300014,1756.38
TCGA-85-8666-01,14450.6283959,1477.48
TCGA-90-6837-01,17851.9907201,809.445
TCGA-56-8083-01,8552.84620394,865.394
TCGA-90-7766-01,22426.669795700003,1135.53
TCGA-66-2777-01,4326.16820737,1224.64
TCGA-66-2765-01,2466.14476467,845.377
TCGA-85-8351-01,12782.5822211,1588.31
TCGA-34-5232-01,20691.1256247,862.4
TCGA-22-4607-01,18084.9327094,1998.14
TCGA-22-4591-01,22991.077929,1667.38
TCGA-18-3421-01,13654.0777334,3382.09
TCGA-85-7699-01,12727.8033738,1273.73
TCGA-98-A539-01,20880.4654256,1260.09
TCGA-22-4613-01,13752.3837465,1995.58
TCGA-18-5592-01,5166.96580267,1178.71
TCGA-34-A5IX-01,23964.1137397,1511.82
TCGA-56-5898-01,9425.08113886,861.084
TCGA-63-A5MJ-01,32630.2333796,1816.3
TCGA-77-7142-01,6963.88044132,942.153
TCGA-58-8393-01,20958.3307021,807.993
TCGA-43-5668-01,9421.22868636,1329.73
TCGA-34-8455-01,7110.26994463,1059.44
TCGA-85-7950-01,26055.6239095,1363.89
TCGA-43-6770-01,6471.58276529,842.819
TCGA-66-2790-01,11507.1582744,2018.87
TCGA-77-7141-01,12219.056049200002,1750.22
TCGA-98-8023-01,26533.973971900006,1128.62
TCGA-33-AASJ-01,42979.848991199986,1942.09
TCGA-85-8052-01,18393.9928898,1214.49
TCGA-66-2727-01,13588.768972999998,3451.4
TCGA-85-A513-01,70668.46968260001,1063.23
TCGA-21-1080-01,8237.04570119,1128.62
TCGA-77-8154-01,5535.55069042,875.835
TCGA-60-2715-01,12903.8438791,1040.48
TCGA-34-8456-01,22293.7557628,946.966
TCGA-56-8304-01,17100.956612600006,1336.26
TCGA-46-3769-01,2288.06825033,1795.56
TCGA-77-8008-01,13269.2641893,878.0
TCGA-43-8115-01,17888.3291241,1106.85
TCGA-68-7757-01,20881.983188,1049.24
TCGA-33-4589-01,2767.26345778,1868.75
TCGA-6A-AB49-01,98216.2991659,2266.65
TCGA-33-AAS8-01,40947.5847846,1665.78
TCGA-52-7810-01,4198.70034479,973.857
TCGA-43-3394-01,13052.703319700002,1470.35
