tissue,barcode,fpkm
normal,TCGA-91-6847-11A-01R-1949-07,2015.97864675
normal,TCGA-44-2665-11A-01R-1758-07,2731.64646576
normal,TCGA-49-4512-11A-01R-1858-07,2324.64748174
normal,TCGA-50-5932-11A-01R-1755-07,4109.19149089
normal,TCGA-44-2662-11A-01R-1758-07,595.455010992
normal,TCGA-44-6776-11A-01R-1858-07,4605.29194097
normal,TCGA-44-3398-11B-01R-1758-07,3081.98430477
normal,TCGA-55-6983-11A-01R-1949-07,3413.00034585
normal,TCGA-49-6743-11A-01R-1858-07,889.360052081
normal,TCGA-44-3396-11A-01R-1758-07,2646.70746755
normal,TCGA-44-2657-11A-01R-1758-07,6322.22261248
normal,TCGA-44-2668-11A-01R-1758-07,3091.44494137
normal,TCGA-55-6975-11A-01R-1949-07,14115.6542606
normal,TCGA-44-2655-11A-01R-1758-07,1188.35624781
normal,TCGA-73-4676-11A-01R-1755-07,2309.04220929
normal,TCGA-55-6984-11A-01R-1949-07,4225.52768038
normal,TCGA-55-6978-11A-01R-1949-07,4770.01833595
normal,TCGA-91-6828-11A-01R-1858-07,3294.27422197
normal,TCGA-55-6982-11A-01R-1949-07,10937.5683598
normal,TCGA-55-6970-11A-01R-1949-07,5814.10278462
normal,TCGA-44-6146-11A-01R-1858-07,964.3331732539999
normal,TCGA-55-6972-11A-01R-1949-07,13125.0820318
normal,TCGA-50-5931-11A-01R-1858-07,0.0
normal,TCGA-49-6745-11A-01R-1858-07,3535.37563145
normal,TCGA-55-6979-11A-01R-1949-07,3844.44848823
normal,TCGA-50-5936-11A-01R-1628-07,843.2005362760001
normal,TCGA-38-4626-11A-01R-1758-07,4759.09462984
normal,TCGA-49-6761-11A-01R-1949-07,2361.52044132
normal,TCGA-55-6985-11A-01R-1949-07,3470.44912569
normal,TCGA-50-5930-11A-01R-1755-07,2024.57120847
normal,TCGA-44-6148-11A-01R-1858-07,6869.149829100002
normal,TCGA-55-6971-11A-01R-1949-07,12708.1650384
normal,TCGA-44-6777-11A-01R-1858-07,4012.49490915
normal,TCGA-50-5939-11A-01R-1628-07,1644.96410688
normal,TCGA-55-6986-11A-01R-1949-07,5713.47910547
