tissue,barcode,fpkm
normal,TCGA-22-5482-11A-01R-1635-07,2226.71842621
normal,TCGA-51-4079-11A-01R-1758-07,5570.35539383
normal,TCGA-56-7730-11A-01R-2125-07,9301.62471479
normal,TCGA-56-7582-11A-01R-2045-07,12926.4665441
normal,TCGA-43-6773-11A-01R-1949-07,8756.19938917
normal,TCGA-43-7658-11A-01R-2125-07,4606.06522481
normal,TCGA-43-7657-11A-01R-2125-07,5075.50662015
normal,TCGA-56-8201-11A-01R-2247-07,2173.84767052
normal,TCGA-39-5040-11A-01R-2125-07,8534.27578512
normal,TCGA-33-4587-11A-01R-2125-07,5334.25793804
normal,TCGA-22-5472-11A-11R-1635-07,3232.98837886
normal,TCGA-22-5483-11A-11R-1820-07,0.0
normal,TCGA-77-7337-11A-01R-2045-07,4479.14788691
normal,TCGA-77-7338-11A-01R-2045-07,995.217234774
normal,TCGA-85-7710-11A-01R-2125-07,18023.880254900007
normal,TCGA-56-8623-11A-01R-A28V-07,12639.4606489
normal,TCGA-77-7138-11A-01R-2045-07,10776.0846354
normal,TCGA-56-8083-11A-01R-2247-07,7815.56234775
normal,TCGA-22-5471-11A-01R-1635-07,544.7876758130001
normal,TCGA-43-6647-11A-01R-1820-07,3104.20811108
normal,TCGA-56-7823-11A-01R-2247-07,10757.8219611
normal,TCGA-56-7579-11A-01R-2045-07,13348.86416
normal,TCGA-22-5478-11A-11R-1635-07,2491.62990326
normal,TCGA-58-8386-11A-01R-2296-07,9108.2596355
normal,TCGA-34-8454-11A-01R-2326-07,9995.05244904
normal,TCGA-77-8007-11A-01R-2187-07,11084.4289406
normal,TCGA-43-6771-11A-01R-1820-07,5763.58030897
normal,TCGA-56-7731-11A-01R-2125-07,1708.05862057
normal,TCGA-92-7340-11A-01R-2045-07,4184.17044637
normal,TCGA-22-5481-11A-01R-1949-07,4951.2222092
normal,TCGA-22-5489-11A-01R-1635-07,1510.11465357
normal,TCGA-56-8082-11A-01R-2247-07,4355.37901753
normal,TCGA-56-8309-11A-01R-2296-07,11933.6770978
normal,TCGA-60-2709-11A-01R-1820-07,2330.07763236
normal,TCGA-90-6837-11A-01R-1949-07,2269.98308673
normal,TCGA-43-5670-11A-01R-2125-07,13486.0623472
normal,TCGA-22-5491-11A-01R-1858-07,3507.40588753
normal,TCGA-56-7222-11A-01R-2045-07,6305.34914295
normal,TCGA-90-7767-11A-01R-2125-07,6886.477282800001
normal,TCGA-34-7107-11A-01R-1949-07,2352.88650646
normal,TCGA-22-4609-11A-01R-2125-07,1376.75685648
normal,TCGA-51-4081-11A-01R-1758-07,14230.104896399998
normal,TCGA-33-6737-11A-01R-1820-07,2135.80471569
normal,TCGA-56-7580-11A-01R-2045-07,7857.2912543
normal,TCGA-77-8008-11A-01R-2187-07,13119.5134777
normal,TCGA-77-7142-11A-01R-2045-07,9518.18925968
normal,TCGA-77-7335-11A-01R-2045-07,796.34858248
normal,TCGA-43-6143-11A-01R-1820-07,5541.7013023
normal,TCGA-22-4593-11A-01R-1820-07,2250.54587794
cancer,TCGA-NC-A5HT-01A-11R-A26W-07,46529.6111122
cancer,TCGA-43-6647-01A-11R-1820-07,1876.06965284
cancer,TCGA-56-A4BX-01A-11R-A24H-07,13804.9498634
cancer,TCGA-22-5473-01A-01R-1635-07,8258.86930298
cancer,TCGA-92-8063-01A-11R-2247-07,16029.3465276
cancer,TCGA-60-2719-01A-01R-0851-07,15423.3665932
cancer,TCGA-56-8626-01A-11R-2403-07,18961.2239324
cancer,TCGA-NK-A5CX-01A-11R-A26W-07,44044.11855930001
cancer,TCGA-63-A5MR-01A-31R-A27Q-07,21197.0074813
cancer,TCGA-LA-A7SW-01A-11R-A405-07,38811.3451575
cancer,TCGA-66-2794-01A-01R-1201-07,6061.65674778
cancer,TCGA-85-A4PA-01A-11R-A24Z-07,131195.726927
cancer,TCGA-94-A5I4-01A-11R-A26W-07,59284.0371453
cancer,TCGA-56-8624-01A-11R-2403-07,24062.6503916
cancer,TCGA-22-4601-01A-01R-1443-07,28338.2452959
cancer,TCGA-56-8628-01A-11R-2403-07,31342.4090048
cancer,TCGA-21-5787-01A-01R-1635-07,12555.752369700003
cancer,TCGA-43-5670-01A-21R-2125-07,31887.1868842
cancer,TCGA-L3-A524-01A-11R-A262-07,78050.2803454
cancer,TCGA-77-8144-01A-11R-2247-07,13298.3944405
cancer,TCGA-43-6143-01A-11R-1820-07,24077.3635449
cancer,TCGA-77-A5GA-01A-11R-A27Q-07,36983.8116573
cancer,TCGA-60-2722-01A-01R-0851-07,8958.29577381
cancer,TCGA-77-7335-01A-11R-2045-07,3445.0223948
cancer,TCGA-37-4133-01A-01R-1100-07,12752.8691057
cancer,TCGA-58-A46N-01A-11R-A24H-07,21133.6066613
cancer,TCGA-33-4547-01A-01R-1201-07,20681.6002334
cancer,TCGA-22-1000-01A-01R-A32Z-07,15002.6004507
cancer,TCGA-43-A475-01A-11R-A24H-07,37799.8060972
cancer,TCGA-85-A510-01A-11R-A26W-07,63597.0710784
cancer,TCGA-98-A53B-01A-11R-A262-07,36126.1311995
cancer,TCGA-52-7622-01A-11R-2125-07,21356.001099700006
cancer,TCGA-21-1072-01A-01R-0692-07,13671.9604498
cancer,TCGA-22-5471-01A-01R-1635-07,21644.8721226
cancer,TCGA-22-1012-01A-01R-0692-07,13272.1417744
cancer,TCGA-77-6842-01A-11R-1949-07,10322.9456112
cancer,TCGA-NC-A5HR-01A-21R-A26W-07,59839.2411828
cancer,TCGA-NC-A5HM-01A-12R-A26W-07,34917.706448300014
cancer,TCGA-85-8666-01A-11R-2403-07,14450.6283959
cancer,TCGA-90-6837-01A-11R-1949-07,17851.9907201
cancer,TCGA-56-8083-01A-11R-2247-07,8552.84620394
cancer,TCGA-90-7766-01A-21R-2125-07,22426.669795700003
cancer,TCGA-66-2777-01A-01R-1201-07,4326.16820737
cancer,TCGA-66-2765-01A-01R-0851-07,2466.14476467
cancer,TCGA-85-8351-01A-11R-2296-07,12782.5822211
cancer,TCGA-34-5232-01A-21R-1820-07,20691.1256247
cancer,TCGA-22-4607-01A-01R-1201-07,18084.9327094
cancer,TCGA-22-4591-01A-01R-1201-07,22991.077929
cancer,TCGA-18-3421-01A-01R-0980-07,13654.0777334
cancer,TCGA-85-7699-01A-11R-2125-07,12727.8033738
cancer,TCGA-98-A539-01A-31R-A262-07,20880.4654256
cancer,TCGA-22-4613-01A-01R-1443-07,13752.3837465
cancer,TCGA-18-5592-01A-01R-1635-07,5166.96580267
cancer,TCGA-34-A5IX-01A-12R-A27Q-07,23964.1137397
cancer,TCGA-56-5898-01A-11R-1635-07,9425.08113886
cancer,TCGA-63-A5MJ-01A-11R-A27Q-07,32630.2333796
cancer,TCGA-77-7142-01A-11R-2045-07,6963.88044132
cancer,TCGA-58-8393-01A-11R-2326-07,20958.3307021
cancer,TCGA-43-5668-01A-01R-1635-07,9421.22868636
cancer,TCGA-34-8455-01A-11R-2326-07,7110.26994463
cancer,TCGA-85-7950-01A-11R-2187-07,26055.6239095
cancer,TCGA-43-6770-01A-11R-1820-07,6471.58276529
cancer,TCGA-66-2790-01A-01R-0980-07,11507.1582744
cancer,TCGA-77-7141-01A-11R-2045-07,12219.056049200002
cancer,TCGA-98-8023-01A-11R-2247-07,26533.973971900006
cancer,TCGA-33-AASJ-01A-11R-A405-07,42979.848991199986
cancer,TCGA-85-8052-01A-11R-2247-07,18393.9928898
cancer,TCGA-66-2727-01A-01R-0980-07,13588.768972999998
cancer,TCGA-85-A513-01A-12R-A26W-07,70668.46968260001
